ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
LEG.DE;LEG Immobilien SE             N;Real Estate;Germany;EUR;4.1;;;;;;;;3.5;;;;nein;;Sektor Real Estate (Kennzahlen nicht vergleichbar)
TEG.DE;TAG Immobilien AG             I;Real Estate;Germany;EUR;2.7;;;;;;;;29.9;;;;nein;;Sektor Real Estate (Kennzahlen nicht vergleichbar)
TLX.DE;Talanx AG                     N;Financial Services;Germany;EUR;29.7;;;;;;;;11.2;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
ABI.BR;AB INBEV;Consumer Defensive;Belgium;EUR;144.2;;;;;;;;18.1;;;;nein;;Waehrungsmix EUR/USD (EV-Kennzahlen nicht direkt vergleichbar)
ARGX.BR;ARGENX SE;Healthcare;Netherlands;EUR;45.8;;;;;;;;32.3;;;;nein;;Waehrungsmix EUR/USD (EV-Kennzahlen nicht direkt vergleichbar)
BBVA.MC;BANCO BILBAO VIZCAYA ARGENTARIA;Financial Services;Spain;EUR;135.9;;;;;;;;13.0;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
BNP.PA;BNP PARIBAS ACT.A;Financial Services;France;EUR;122.1;;;;;;;;9.6;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
CS.PA;AXA;Financial Services;France;EUR;90.9;;;;;;;;12.0;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
ENEL.MI;ENEL;Utilities;Italy;EUR;97.6;;;;;;;;25.9;;;;nein;;Sektor Utilities (Kennzahlen nicht vergleichbar)
IBE.MC;ACCIONES IBERDROLA;Utilities;Spain;EUR;136.9;;;;;;;;25.6;;;;nein;;Sektor Utilities (Kennzahlen nicht vergleichbar)
INGA.AS;ING GROEP N.V.;Financial Services;Netherlands;EUR;86.1;;;;;;;;13.0;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
ISP.MI;INTESA SANPAOLO;Financial Services;Italy;EUR;116.2;;;;;;;;11.8;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
NDA-FI.HE;Nordea Bank Abp;Financial Services;Finland;EUR;59.6;;;;;;;;12.8;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
PRX.AS;PROSUS;Consumer Cyclical;Netherlands;EUR;87.6;;;;;;;;9.1;;;;nein;;Waehrungsmix EUR/USD (EV-Kennzahlen nicht direkt vergleichbar)
SAN.MC;BANCO SANTANDER S.A.;Financial Services;Spain;EUR;177.7;;;;;;;;14.1;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
TTE.PA;TOTALENERGIES;Energy;France;EUR;168.3;;;;;;;;10.9;;;;nein;;Waehrungsmix EUR/USD (EV-Kennzahlen nicht direkt vergleichbar)
UCG.MI;UNICREDIT;Financial Services;Italy;EUR;125.2;;;;;;;;11.9;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
